Case No.	u10 (m/s)	T (C)	q* (W/m2)	tau (N/m2)	hb (m)	taut (s)	tauc (s)	Da
1324	11.9	3.7	-222	0.432	237	187.0	299.4	0.6245
1325	11.9	3.7	-141	0.203	113	211.0	299.4	0.7047
1326	11.9	3.7	-141	0.279	72	222.3	299.4	0.7425
1327	11.9	3.7	-141	0.279	113	204.7	299.4	0.6838
1328	11.9	3.7	-141	0.279	155	205.6	299.4	0.6866
1329	11.9	3.7	-141	0.279	196	186.1	299.4	0.6214
1330	11.9	3.7	-141	0.279	237	185.1	299.4	0.6182
1331	11.9	3.7	-141	0.279	279	180.9	299.4	0.6043
1332	11.9	3.7	-141	0.356	72	207.6	299.4	0.6935
1333	11.9	3.7	-141	0.356	113	241.8	299.4	0.8075
1334	11.9	3.7	-141	0.356	155	217.4	299.4	0.7263
1335	11.9	3.7	-141	0.356	196	188.5	299.4	0.6297
1336	11.9	3.7	-141	0.356	237	189.2	299.4	0.6319
1337	11.9	3.7	-141	0.356	279	180.6	299.4	0.6033
1338	11.9	3.7	-141	0.432	196	185.4	299.4	0.6193
1339	11.9	3.7	-141	0.432	237	189.9	299.4	0.6341
1340	11.9	3.7	-59	0.279	72	209.8	299.4	0.7009
1341	11.9	3.7	-59	0.279	113	233.6	299.4	0.7801
1342	11.9	3.7	-59	0.279	155	205.0	299.4	0.6847
1343	11.9	3.7	-59	0.279	196	202.1	299.4	0.6749
1344	11.9	3.7	-59	0.356	113	231.3	299.4	0.7725
1345	11.9	3.7	-59	0.356	155	198.9	299.4	0.6643
1346	11.9	3.7	-59	0.356	196	326.2	299.4	1.0896
1347	11.9	7.0	-303	0.356	113	216.5	188.4	1.1494
1348	11.9	7.0	-222	0.279	72	228.6	188.4	1.2133
1349	11.9	7.0	-222	0.279	113	192.5	188.4	1.0219
1350	11.9	7.0	-222	0.279	320	184.3	188.4	0.9781
1351	11.9	7.0	-222	0.356	113	230.4	188.4	1.2229
1352	11.9	7.0	-222	0.356	237	181.1	188.4	0.9611
1353	11.9	7.0	-222	0.356	279	185.0	188.4	0.9818
1354	11.9	7.0	-141	0.203	196	188.7	188.4	1.0015
1355	11.9	7.0	-141	0.279	72	234.8	188.4	1.2463
1356	11.9	7.0	-141	0.279	113	215.4	188.4	1.1434
1357	11.9	7.0	-141	0.279	155	206.4	188.4	1.0954
1358	11.9	7.0	-141	0.279	196	184.2	188.4	0.9777
1359	11.9	7.0	-141	0.279	237	197.0	188.4	1.0458
1360	11.9	7.0	-141	0.279	279	315.9	188.4	1.6766
1361	11.9	7.0	-141	0.279	320	177.0	188.4	0.9396
1362	11.9	7.0	-141	0.356	113	206.9	188.4	1.0981
1363	11.9	7.0	-141	0.356	155	243.2	188.4	1.2907
1364	11.9	7.0	-141	0.356	196	834.3	188.4	4.4283
1365	11.9	7.0	-141	0.356	237	465.1	188.4	2.4689
1366	11.9	7.0	-141	0.432	237	169.5	188.4	0.8997
1367	11.9	7.0	-59	0.203	196	204.5	188.4	1.0854
1368	11.9	7.0	-59	0.279	113	219.8	188.4	1.1667
1369	11.9	7.0	-59	0.279	155	241.2	188.4	1.2802
1370	11.9	7.0	-59	0.279	196	178.4	188.4	0.9470
1371	11.9	7.0	-59	0.279	237	180.7	188.4	0.9591
1372	11.9	7.0	-59	0.279	320	190.1	188.4	1.0089
1373	11.9	7.0	-59	0.356	113	228.2	188.4	1.2111
1374	11.9	7.0	-59	0.356	155	334.9	188.4	1.7778
1375	11.9	7.0	-59	0.356	196	212.5	188.4	1.1281
1376	11.9	7.0	103	0.279	72	205.6	188.4	1.0911
1377	11.9	10.3	-384	0.279	113	216.3	122.8	1.7612
1378	11.9	10.3	-303	0.279	30	190.2	122.8	1.5489
1379	11.9	10.3	-303	0.279	72	204.4	122.8	1.6646
1380	11.9	10.3	-303	0.279	113	194.2	122.8	1.5818
1381	11.9	10.3	-303	0.356	113	181.4	122.8	1.4774
1382	11.9	10.3	-303	0.356	155	201.6	122.8	1.6420
1383	11.9	10.3	-222	0.279	72	199.8	122.8	1.6267
1384	11.9	10.3	-222	0.279	113	191.0	122.8	1.5554
1385	11.9	10.3	-222	0.279	155	213.8	122.8	1.7413
1386	11.9	10.3	-222	0.356	113	203.3	122.8	1.6553
1387	11.9	10.3	-222	0.356	155	309.5	122.8	2.5203
1388	11.9	10.3	-222	0.356	237	183.8	122.8	1.4969
1389	11.9	10.3	-222	0.356	279	190.6	122.8	1.5517
1390	11.9	10.3	-222	0.356	320	169.6	122.8	1.3812
1391	11.9	10.3	-141	0.203	113	204.8	122.8	1.6676
1392	11.9	10.3	-141	0.203	196	189.4	122.8	1.5427
1393	11.9	10.3	-141	0.279	72	242.2	122.8	1.9725
1394	11.9	10.3	-141	0.279	113	190.6	122.8	1.5522
1395	11.9	10.3	-141	0.279	155	232.5	122.8	1.8935
1396	11.9	10.3	-141	0.279	196	201.8	122.8	1.6436
1397	11.9	10.3	-141	0.279	237	198.9	122.8	1.6201
1398	11.9	10.3	-141	0.279	279	179.9	122.8	1.4651
1399	11.9	10.3	-141	0.279	320	187.4	122.8	1.5259
1400	11.9	10.3	-141	0.279	362	361.9	122.8	2.9468
1401	11.9	10.3	-141	0.356	113	217.5	122.8	1.7709
1402	11.9	10.3	-141	0.356	155	200.9	122.8	1.6358
1403	11.9	10.3	-141	0.356	196	408.3	122.8	3.3246
1404	11.9	10.3	-141	0.356	237	199.3	122.8	1.6231
1405	11.9	10.3	-141	0.356	279	189.1	122.8	1.5403
1406	11.9	10.3	-141	0.432	196	263.8	122.8	2.1483
1407	11.9	10.3	-141	0.432	237	308.0	122.8	2.5081
1408	11.9	10.3	-59	0.203	155	265.5	122.8	2.1621
1409	11.9	10.3	-59	0.203	196	194.9	122.8	1.5871
1410	11.9	10.3	-59	0.279	113	184.4	122.8	1.5018
1411	11.9	10.3	-59	0.279	155	232.9	122.8	1.8964
1412	11.9	10.3	-59	0.279	196	210.5	122.8	1.7143
1413	11.9	10.3	-59	0.279	237	188.2	122.8	1.5325
1414	11.9	10.3	-59	0.356	196	191.2	122.8	1.5567
1415	11.9	10.3	-59	0.356	237	495.8	122.8	4.0377
1416	11.9	13.6	-384	0.279	72	212.8	82.8	2.5701
1417	11.9	13.6	-384	0.356	113	203.7	82.8	2.4598
1418	11.9	13.6	-384	0.356	155	194.2	82.8	2.3459
1419	11.9	13.6	-303	0.279	30	207.7	82.8	2.5079
1420	11.9	13.6	-303	0.279	72	242.8	82.8	2.9324
1421	11.9	13.6	-303	0.279	113	215.1	82.8	2.5978
1422	11.9	13.6	-303	0.356	113	198.2	82.8	2.3938
1423	11.9	13.6	-303	0.356	155	225.1	82.8	2.7184
1424	11.9	13.6	-303	0.356	196	179.8	82.8	2.1720
1425	11.9	13.6	-222	0.279	113	228.5	82.8	2.7601
1426	11.9	13.6	-222	0.279	155	213.8	82.8	2.5818
1427	11.9	13.6	-222	0.279	196	182.8	82.8	2.2081
1428	11.9	13.6	-222	0.279	237	232.2	82.8	2.8040
1429	11.9	13.6	-222	0.356	113	243.1	82.8	2.9358
1430	11.9	13.6	-222	0.356	155	207.7	82.8	2.5081
1431	11.9	13.6	-222	0.356	196	174.3	82.8	2.1047
1432	11.9	13.6	-222	0.356	237	200.1	82.8	2.4172
1433	11.9	13.6	-141	0.203	113	221.1	82.8	2.6707
1434	11.9	13.6	-141	0.203	155	200.0	82.8	2.4156
1435	11.9	13.6	-141	0.203	196	188.0	82.8	2.2703
1436	11.9	13.6	-141	0.203	237	190.1	82.8	2.2964
1437	11.9	13.6	-141	0.279	72	213.4	82.8	2.5774
1438	11.9	13.6	-141	0.279	155	231.7	82.8	2.7979
1439	11.9	13.6	-141	0.279	196	192.6	82.8	2.3265
1440	11.9	13.6	-141	0.279	237	206.4	82.8	2.4930
1441	11.9	13.6	-141	0.279	279	210.1	82.8	2.5376
1442	11.9	13.6	-141	0.279	320	233.6	82.8	2.8213
1443	11.9	13.6	-141	0.356	113	194.9	82.8	2.3535
1444	11.9	13.6	-141	0.356	155	209.2	82.8	2.5271
1445	11.9	13.6	-141	0.356	196	254.4	82.8	3.0729
1446	11.9	13.6	-141	0.356	237	234.1	82.8	2.8277
1447	11.9	13.6	-141	0.356	279	381.9	82.8	4.6120
1448	11.9	13.6	-59	0.203	155	233.3	82.8	2.8178
1449	11.9	13.6	-59	0.279	113	229.9	82.8	2.7762
1450	11.9	13.6	-59	0.279	155	222.3	82.8	2.6849
1451	11.9	13.6	-59	0.279	196	188.4	82.8	2.2753
1452	11.9	16.9	-465	0.279	113	234.2	56.8	4.1231
1453	11.9	16.9	-465	0.356	113	217.7	56.8	3.8326
1454	11.9	16.9	-384	0.203	72	208.5	56.8	3.6703
1455	11.9	16.9	-384	0.279	30	186.7	56.8	3.2868
1456	11.9	16.9	-384	0.279	72	229.6	56.8	4.0420
1457	11.9	16.9	-384	0.279	113	203.6	56.8	3.5845
1458	11.9	16.9	-384	0.356	113	191.4	56.8	3.3704
1459	11.9	16.9	-303	0.279	113	193.9	56.8	3.4142
1460	11.9	16.9	-303	0.279	155	221.4	56.8	3.8975
1461	11.9	16.9	-303	0.279	196	186.6	56.8	3.2846
1462	11.9	16.9	-303	0.356	113	219.9	56.8	3.8720
1463	11.9	16.9	-303	0.356	196	196.0	56.8	3.4502
1464	11.9	16.9	-222	0.203	72	220.8	56.8	3.8871
1465	11.9	16.9	-222	0.203	113	216.2	56.8	3.8070
1466	11.9	16.9	-222	0.203	155	244.1	56.8	4.2972
1467	11.9	16.9	-222	0.279	113	209.9	56.8	3.6956
1468	11.9	16.9	-222	0.279	155	208.5	56.8	3.6716
1469	11.9	16.9	-222	0.279	196	189.4	56.8	3.3337
1470	11.9	16.9	-222	0.356	113	210.0	56.8	3.6978
1471	11.9	16.9	-141	0.203	113	214.8	56.8	3.7810
1472	11.9	16.9	-141	0.203	155	238.8	56.8	4.2049
1473	11.9	16.9	-141	0.279	155	218.7	56.8	3.8508
1474	11.9	20.2	-546	0.279	72	213.6	41.5	5.1477
1475	11.9	20.2	-546	0.279	113	208.4	41.5	5.0208
1476	11.9	20.2	-465	0.279	72	202.0	41.5	4.8672
1477	11.9	20.2	-465	0.279	113	200.7	41.5	4.8372
1478	11.9	20.2	-465	0.279	155	200.9	41.5	4.8412
1479	11.9	20.2	-384	0.203	113	199.3	41.5	4.8024
1480	11.9	20.2	-384	0.279	113	229.0	41.5	5.5169
1481	11.9	20.2	-303	0.279	113	208.0	41.5	5.0127
1482	11.9	20.2	-222	0.203	113	224.8	41.5	5.4160
1483	11.9	20.2	-222	0.203	155	215.9	41.5	5.2035
1484	11.9	20.2	-222	0.203	196	194.6	41.5	4.6895
1485	11.9	20.2	-222	0.279	155	199.7	41.5	4.8123
1486	11.9	20.2	-222	0.279	196	191.6	41.5	4.6179
1487	11.9	20.2	-141	0.203	113	224.7	41.5	5.4149
1488	11.9	20.2	-141	0.203	155	213.3	41.5	5.1388
1489	11.9	23.4	103	0.279	30	195.9	30.8	6.3617
1490	11.9	26.7	22	0.279	30	197.5	23.5	8.4025
1491	11.9	26.7	22	0.279	72	212.8	23.5	9.0546
1492	11.9	26.7	103	0.203	30	219.5	23.5	9.3388
1493	11.9	26.7	103	0.203	72	210.6	23.5	8.9608
1494	11.9	26.7	103	0.279	30	226.8	23.5	9.6491
1495	11.9	26.7	103	0.279	72	242.2	23.5	10.3070
1496	11.9	26.7	103	0.356	30	190.3	23.5	8.0960
1497	13.1	0.5	-141	0.356	72	200.2	482	0.4154
1498	13.1	3.7	-222	0.279	155	188.2	299.4	0.6286
1499	13.1	3.7	-222	0.356	113	194.3	299.4	0.6488
1500	13.1	3.7	-222	0.356	279	188.7	299.4	0.6303
1501	13.1	3.7	-222	0.356	320	172.9	299.4	0.5773
1502	13.1	3.7	-222	0.432	237	171.8	299.4	0.5738
1503	13.1	3.7	-222	0.432	279	179.3	299.4	0.5989
1504	13.1	3.7	-222	0.508	237	381.6	299.4	1.2746
1505	13.1	3.7	-141	0.279	72	188.6	299.4	0.6301
1506	13.1	3.7	-141	0.279	113	203.0	299.4	0.6781
1507	13.1	3.7	-141	0.279	155	178.7	299.4	0.5968
1508	13.1	3.7	-141	0.356	72	206.2	299.4	0.6886
1509	13.1	3.7	-141	0.356	113	185.1	299.4	0.6184
1510	13.1	3.7	-141	0.356	196	160.6	299.4	0.5365
1511	13.1	3.7	-141	0.356	320	631.5	299.4	2.1094
1512	13.1	3.7	-59	0.279	113	217.3	299.4	0.7257
1513	13.1	7.0	-222	0.356	113	190.6	188.4	1.0118
1514	13.1	7.0	-141	0.356	72	192.2	188.4	1.0200
1515	13.1	7.0	-141	0.356	113	244.0	188.4	1.2953
1516	13.1	7.0	-141	0.356	155	200.6	188.4	1.0646
1517	13.1	7.0	-141	0.356	196	176.7	188.4	0.9377
1518	13.1	7.0	-141	0.356	237	199.9	188.4	1.0610
1519	13.1	7.0	-141	0.432	196	220.5	188.4	1.1701
1520	13.1	7.0	-141	0.432	237	219.9	188.4	1.1670
1521	13.1	7.0	-59	0.356	113	196.5	188.4	1.0429
1522	13.1	10.3	-303	0.279	113	184.2	122.8	1.4998
1523	13.1	10.3	-303	0.356	113	205.1	122.8	1.6706
1524	13.1	10.3	-222	0.279	113	192.4	122.8	1.5667
1525	13.1	10.3	-222	0.356	72	201.2	122.8	1.6386
1526	13.1	10.3	-222	0.356	113	208.3	122.8	1.6963
1527	13.1	10.3	-222	0.356	155	217.8	122.8	1.7733
1528	13.1	10.3	-222	0.356	196	190.5	122.8	1.5512
1529	13.1	10.3	-222	0.432	155	176.2	122.8	1.4351
1530	13.1	10.3	-141	0.279	237	190.3	122.8	1.5497
1531	13.1	10.3	-141	0.356	113	187.7	122.8	1.5288
1532	13.1	10.3	-141	0.356	155	203.0	122.8	1.6532
1533	13.1	10.3	-141	0.356	196	201.6	122.8	1.6419
1534	13.1	10.3	-141	0.356	237	189.4	122.8	1.5421
1535	13.1	10.3	-141	0.356	279	164.5	122.8	1.3395
1536	13.1	10.3	-141	0.432	155	198.6	122.8	1.6170
1537	13.1	10.3	-141	0.432	237	196.8	122.8	1.6028
1538	13.1	10.3	-59	0.279	196	197.0	122.8	1.6046
1539	13.1	10.3	-59	0.356	196	180.9	122.8	1.4729
1540	13.1	13.6	-303	0.279	113	196.9	82.8	2.3785
1541	13.1	13.6	-303	0.356	72	213.6	82.8	2.5802
1542	13.1	13.6	-303	0.356	113	187.0	82.8	2.2583
1543	13.1	13.6	-303	0.356	155	192.8	82.8	2.3282
1544	13.1	13.6	-303	0.356	196	179.8	82.8	2.1712
1545	13.1	13.6	-222	0.279	113	203.7	82.8	2.4603
1546	13.1	13.6	-222	0.279	155	221.8	82.8	2.6793
1547	13.1	13.6	-222	0.279	196	196.9	82.8	2.3785
1548	13.1	13.6	-222	0.279	237	179.4	82.8	2.1669
1549	13.1	13.6	-222	0.356	113	249.3	82.8	3.0109
1550	13.1	13.6	-222	0.356	155	221.8	82.8	2.6788
1551	13.1	13.6	-222	0.356	196	270.3	82.8	3.2640
1552	13.1	13.6	-222	0.356	237	162.4	82.8	1.9615
1553	13.1	13.6	-141	0.279	155	207.2	82.8	2.5023
1554	13.1	13.6	-141	0.279	196	180.7	82.8	2.1819
1555	13.1	13.6	-141	0.279	237	187.6	82.8	2.2656
1556	13.1	13.6	-141	0.356	196	190.8	82.8	2.3038
1557	13.1	16.9	-384	0.279	72	230.2	56.8	4.0537
1558	13.1	16.9	-384	0.279	155	209.4	56.8	3.6859
1559	13.1	16.9	-384	0.356	72	178.8	56.8	3.1481
1560	13.1	16.9	-384	0.356	113	190.2	56.8	3.3492
1561	13.1	16.9	-384	0.356	155	197.2	56.8	3.4724
1562	13.1	16.9	-384	0.356	196	158.0	56.8	2.7810
1563	13.1	16.9	-303	0.279	113	199.8	56.8	3.5177
1564	13.1	16.9	-303	0.279	155	215.5	56.8	3.7945
1565	13.1	16.9	-303	0.279	196	175.3	56.8	3.0870
1566	13.1	16.9	-303	0.356	113	203.6	56.8	3.5849
1567	13.1	16.9	-303	0.356	155	188.3	56.8	3.3148
1568	13.1	16.9	-303	0.356	196	168.6	56.8	2.9687
1569	13.1	16.9	-222	0.279	155	207.3	56.8	3.6496
1570	13.1	20.2	-465	0.279	72	187.4	41.5	4.5166
1571	13.1	20.2	-465	0.279	113	192.6	41.5	4.6401
1572	13.1	20.2	-465	0.356	113	216.5	41.5	5.2166
1573	13.1	20.2	-384	0.279	72	188.6	41.5	4.5440
1574	13.1	20.2	-384	0.279	113	207.8	41.5	5.0082
1575	13.1	20.2	-384	0.279	155	192.7	41.5	4.6429
1576	13.1	20.2	-384	0.356	155	195.1	41.5	4.7016
1577	13.1	20.2	-384	0.356	196	173.7	41.5	4.1858
1578	13.1	20.2	-303	0.279	113	242.2	41.5	5.8357
1579	13.1	20.2	-303	0.279	155	205.0	41.5	4.9387
1580	13.1	20.2	-303	0.279	196	188.1	41.5	4.5326
1581	13.1	20.2	-303	0.279	237	176.5	41.5	4.2524
1582	13.1	20.2	-303	0.356	113	192.7	41.5	4.6427
1583	13.1	20.2	-222	0.203	155	193.3	41.5	4.6573
1584	13.1	20.2	-222	0.203	196	201.2	41.5	4.8472
1585	13.1	20.2	-222	0.279	155	203.3	41.5	4.8986
1586	13.1	20.2	-222	0.279	196	174.5	41.5	4.2047
1587	13.1	23.4	103	0.356	30	176.3	30.8	5.7254
1588	13.1	26.7	22	0.279	72	195.1	23.5	8.3023
1589	13.1	26.7	103	0.279	30	184.8	23.5	7.8630
1590	13.1	26.7	103	0.279	72	205.0	23.5	8.7251
1591	14.3	7.0	-222	0.356	72	185.4	188.4	0.9840
1592	14.3	7.0	-222	0.356	113	202.2	188.4	1.0732
1593	14.3	7.0	-222	0.432	72	196.9	188.4	1.0451
1594	14.3	7.0	-222	0.432	113	203.7	188.4	1.0810
1595	14.3	10.3	-303	0.356	155	206.8	122.8	1.6837
1596	14.3	10.3	-303	0.432	113	173.1	122.8	1.4096
1597	14.3	10.3	-303	0.432	155	186.9	122.8	1.5223
1598	14.3	10.3	-222	0.356	155	232.8	122.8	1.8956
1599	14.3	10.3	-222	0.432	155	180.2	122.8	1.4673
1600	14.3	10.3	-222	0.432	196	153.5	122.8	1.2503
1601	14.3	13.6	-303	0.356	113	178.3	82.8	2.1538
1602	14.3	13.6	-303	0.356	155	182.5	82.8	2.2046
1603	14.3	13.6	-303	0.432	155	223.4	82.8	2.6979
1604	14.3	13.6	-303	0.432	196	166.5	82.8	2.0103
1605	14.3	13.6	-222	0.356	155	192.5	82.8	2.3245
1606	14.3	13.6	-222	0.356	196	160.2	82.8	1.9352
1607	14.3	16.9	-384	0.356	113	192.3	56.8	3.3863
1608	14.3	20.2	-465	0.356	113	206.5	41.5	4.9761
1609	14.3	20.2	-384	0.279	113	183.1	41.5	4.4110
1610	14.3	20.2	-384	0.279	155	183.1	41.5	4.4122
1611	14.3	20.2	-384	0.356	113	177.9	41.5	4.2875
1612	14.3	20.2	-384	0.356	155	188.0	41.5	4.5300
1613	14.3	20.2	-384	0.356	196	158.0	41.5	3.8064
1614	14.3	20.2	-303	0.279	155	190.9	41.5	4.6008
1615	14.3	20.2	-303	0.279	196	182.3	41.5	4.3916
